Timestamp,Omega S-Type - Ox Tank Mass,PT-2 Ox Tank,PT-3 CC,Thrust,dP
0.002556,44.721395,790.269211,-5.445487,-7.326295,795.714698
0.034657,44.666661,790.269214,-0.493495,-8.275832,790.762709
0.049921,44.311386,770.822792,3.60958,-6.687184,767.213212
0.065304,45.106525,785.285771,8.53013,-8.69582,776.755641
0.08021,44.54127,791.715511,-1.310967,-9.207109,793.026478
0.11206,44.354178,803.42738,-14.531994,-7.161952,817.959374
0.128153,44.461656,779.830715,12.743251,-10.083604,767.087464
0.143162,44.755231,793.696312,-8.573885,-9.426233,802.270197
0.17402,44.797028,774.249887,18.905727,-11.672252,755.34416
0.188925,44.777125,786.040362,5.38601,-10.43055,780.654352
0.204751,44.910477,799.560107,0.43402,-9.407972,799.126087
0.220605,44.498477,790.174888,2.682067,-8.586258,787.492821
0.252357,44.702487,789.01156,-7.221914,-9.974042,796.233474
0.267412,44.943318,783.666547,0.072445,-6.194155,783.594102
0.283059,44.559183,798.035205,0.858475,-6.376758,797.17673
0.313681,44.357163,791.133846,-7.143311,-9.006245,798.277157
0.328913,44.799018,760.58866,16.814887,-8.878423,743.773773
0.344932,44.632825,793.334734,-5.964266,-6.888047,799.299
0.360749,44.012835,795.284092,-7.882179,-7.490638,803.166271
0.39302,44.225801,784.578343,1.047123,-6.778486,783.53122
0.407218,44.911472,804.606428,-2.269924,-5.737647,806.876352
0.421831,44.407917,777.472618,-2.159881,-10.850538,779.632499
0.45291,44.858728,778.918915,5.496054,-8.18453,773.422861
0.468323,44.432796,789.954799,0.151048,-9.754918,789.803751
0.483689,44.548236,796.651787,-4.973868,-4.002916,801.625655
0.499864,44.787076,790.976641,5.889068,-9.334931,785.087573
0.529821,44.397965,792.532983,-5.225397,-6.559362,797.75838
0.545026,44.759212,805.911241,0.496902,-6.303717,805.414339
0.561425,44.658699,792.108525,0.44974,-4.934193,791.658785
0.591501,44.551221,805.188091,-8.91974,-9.006245,814.107831
0.606733,44.796033,774.784389,11.862898,-9.590575,762.921491
0.622805,44.670642,775.098803,11.202632,-7.746283,763.896171
0.653081,44.784091,784.656945,19.801802,-7.965407,764.855143
0.668606,44.558187,789.97052,-4.958147,-9.809699,794.928667
0.684124,44.463646,791.574024,1.77027,-8.330613,789.803754
0.700052,44.518381,795.268372,-18.037689,-7.801064,813.306061
0.730924,44.74926,779.28049,-3.44897,-6.851527,782.72946
0.746521,44.872661,801.525185,4.537097,-8.641039,796.988088
0.761561,44.678603,800.597667,-10.554682,-5.482003,811.152349
0.793434,44.486535,782.77047,1.455859,-10.120125,781.314611
0.809773,44.641782,780.27089,0.386857,-11.142703,779.884033
0.825295,44.832854,788.162647,-6.703135,-8.202791,794.865782
0.841058,44.626854,793.664869,-2.568615,-9.974042,796.233484
0.871457,44.768168,786.967878,-0.556379,-9.170588,787.524257
0.887541,44.709453,787.298013,1.738829,-5.938511,785.559184
0.902985,44.824893,787.879675,-7.442003,-7.709762,795.321678
0.932762,44.592023,774.800111,1.424418,-8.257572,773.375693
0.94766,44.492506,791.086684,-12.897052,-11.106182,803.983736
0.96336,44.890574,781.575703,15.085621,-6.997609,766.490082
0.993626,44.894554,778.997519,3.798228,-7.03413,775.199291
1.009024,45.065723,779.311931,6.958069,-9.645356,772.353862
1.025043,44.737318,782.361734,-7.363399,-9.097547,789.725133
1.039968,44.618893,790.033401,7.524011,-6.175895,782.50939
1.071097,44.888583,785.097123,-9.407078,-8.440175,794.504201
1.086663,44.495492,781.261289,5.417451,-4.970713,775.843838
1.101679,44.66467,787.612426,-7.080429,-8.312353,794.692855
1.132675,44.740303,788.398456,-0.304849,-5.737647,788.703305
1.147748,44.887588,783.933798,-1.531056,-7.947146,785.464854
1.163117,44.729356,783.619385,-3.96775,-8.494956,787.587135
1.194082,44.823897,783.540781,15.258548,-5.88373,768.282233
1.209159,44.802999,809.511265,-2.395689,-8.330613,811.906954
1.225147,44.66268,795.268373,1.565902,-6.48632,793.702471
1.241413,44.968197,768.32321,7.979908,-7.161952,760.343302
1.27235,44.692535,795.755715,17.192183,-8.385394,778.563532
1.287955,44.428816,805.062329,-5.869943,-7.654981,810.932272
1.303723,44.583067,794.073604,-4.973867,-9.681877,799.047471
1.335099,44.992081,793.334735,-2.207041,-7.691502,795.541776
1.350871,44.632825,821.427504,-22.50234,-4.368123,843.929844
1.366151,44.669646,800.141769,-0.603541,-5.646345,800.74531
1.381958,44.918438,783.27353,-13.840288,-6.522841,797.113818
1.413424,44.428816,799.607267,-10.476079,-9.481013,810.083346
1.428951,44.883608,785.914596,-5.398324,-8.18453,791.31292
1.443692,44.858728,775.177404,15.981695,-9.809699,759.195709
1.46053,44.995066,794.482342,-14.264744,-3.528148,808.747086
1.489779,44.727366,782.990559,-12.252506,-7.308035,795.243065
1.504832,44.770158,798.412499,-8.966901,-6.906308,807.3794
1.520073,44.861714,787.156526,-26.589696,-7.6002,813.746222
1.551068,44.930381,773.149444,14.975578,-9.334931,758.173866
1.56716,44.80897,785.317212,-8.715372,-4.879412,794.032584
1.582582,44.51241,778.148605,4.568538,-10.339249,773.580067
1.612821,44.852757,776.513659,15.981695,-8.787121,760.531964
1.628828,44.717414,797.846556,9.929264,-3.729011,787.917292
1.644585,44.746274,785.851713,-8.102268,-7.490638,793.953981
1.660923,44.795038,764.204405,-0.933674,-8.202791,765.138079
1.691899,44.540274,775.58614,2.320493,-6.741965,773.265647
1.707953,44.634815,773.746828,14.739767,-7.983667,759.007061
1.724046,44.849772,778.415856,14.614002,-9.134067,763.801854
1.754642,44.54326,801.965361,-14.94073,-6.778486,816.906091
1.769911,44.797028,787.077923,14.944136,-8.202791,772.133787
1.785975,44.291482,778.227211,-4.360764,-7.216733,782.587975
1.801668,44.623869,795.095446,26.420176,-8.421915,768.67527
1.833542,45.272719,772.913636,-14.249023,-7.965407,787.162659
1.849884,44.794042,769.942435,11.108309,-8.73234,758.834126
1.863642,44.505444,807.87632,-24.939032,-7.143692,832.815352
1.894578,44.81096,792.281452,3.326611,-11.343567,788.954841
1.909812,45.013975,772.504897,16.09174,-7.399337,756.413157
1.924888,44.794042,789.373135,5.354568,-6.687184,784.018567
